Region,WRI,Exposure,Vulnerability,Susceptibility,Lack of Coping Capabilities, Lack of Adaptive Capacities,year,Continent,,,Region_1,year_1,Attribute,Value
,,,,,,,,,,,Brazil,2021,Lack of Coping Capabilities,76.22
,,,,,,,,,,,Brazil,2021,Lack of Adaptive Capacities,32.51
,,,,,,,,,,,Iran,2021,WRI,5.03
,,,,,,,,,,,Iran,2021,Exposure,10.9
,,,,,,,,,,,Iran,2021,Vulnerability,46.15
,,,,,,,,,,,Iran,2021,Susceptibility,21.67
,,,,,,,,,,,Iran,2021,Lack of Coping Capabilities,82.62
,,,,,,,,,,,Iran,2021,Lack of Adaptive Capacities,34.17
,,,,,,,,,,,Hungary,2021,WRI,5.07
,,,,,,,,,,,Hungary,2021,Exposure,15.24
,,,,,,,,,,,Hungary,2021,Vulnerability,33.25
,,,,,,,,,,,Hungary,2021,Susceptibility,16.07
,,,,,,,,,,,Hungary,2021,Lack of Coping Capabilities,58.89
,,,,,,,,,,,Hungary,2021,Lack of Adaptive Capacities,24.78
,,,,,,,,,,,Turkey,2021,WRI,5.11
,,,,,,,,,,,Turkey,2021,Exposure,12.57
,,,,,,,,,,,Turkey,2021,Vulnerability,40.65
,,,,,,,,,,,Turkey,2021,Susceptibility,18.09
,,,,,,,,,,,Turkey,2021,Lack of Coping Capabilities,72.44
,,,,,,,,,,,Turkey,2021,Lack of Adaptive Capacities,31.42
,,,,,,,,,,,Armenia,2021,WRI,5.4
,,,,,,,,,,,Armenia,2021,Exposure,14.23
,,,,,,,,,,,Armenia,2021,Vulnerability,37.92
,,,,,,,,,,,Armenia,2021,Susceptibility,19.62
,,,,,,,,,,,Armenia,2021,Lack of Coping Capabilities,65.37
,,,,,,,,,,,Armenia,2021,Lack of Adaptive Capacities,28.76
,,,,,,,,,,,Serbia,2021,WRI,5.42
,,,,,,,,,,,Serbia,2021,Exposure,13.84
,,,,,,,,,,,Serbia,2021,Vulnerability,39.14
,,,,,,,,,,,Serbia,2021,Susceptibility,21.89
,,,,,,,,,,,Serbia,2021,Lack of Coping Capabilities,68.39
,,,,,,,,,,,Serbia,2021,Lack of Adaptive Capacities,27.15
,,,,,,,,,,,Lebanon,2021,WRI,5.49
,,,,,,,,,,,Lebanon,2021,Exposure,11.61
,,,,,,,,,,,Lebanon,2021,Vulnerability,47.31
,,,,,,,,,,,Lebanon,2021,Susceptibility,20.26
,,,,,,,,,,,Lebanon,2021,Lack of Coping Capabilities,81
,,,,,,,,,,,Lebanon,2021,Lack of Adaptive Capacities,40.66
,,,,,,,,,,,Samoa,2021,WRI,5.54
,,,,,,,,,,,Samoa,2021,Exposure,11.46
,,,,,,,,,,,Samoa,2021,Vulnerability,48.32
,,,,,,,,,,,Samoa,2021,Susceptibility,25.56
,,,,,,,,,,,Samoa,2021,Lack of Coping Capabilities,79.83
,,,,,,,,,,,Samoa,2021,Lack of Adaptive Capacities,39.56
,,,,,,,,,,,Georgia,2021,WRI,5.69
,,,,,,,,,,,Georgia,2021,Exposure,15.14
,,,,,,,,,,,Georgia,2021,Vulnerability,37.56
,,,,,,,,,,,Georgia,2021,Susceptibility,22.15
,,,,,,,,,,,Georgia,2021,Lack of Coping Capabilities,59.22
,,,,,,,,,,,Georgia,2021,Lack of Adaptive Capacities,31.32
,,,,,,,,,,,Romania,2021,WRI,5.71
,,,,,,,,,,,Romania,2021,Exposure,15.39
,,,,,,,,,,,Romania,2021,Vulnerability,37.11
,,,,,,,,,,,Romania,2021,Susceptibility,19.47
,,,,,,,,,,,Romania,2021,Lack of Coping Capabilities,63.14
,,,,,,,,,,,Romania,2021,Lack of Adaptive Capacities,28.71
,,,,,,,,,,,Yemen,2021,WRI,5.72
,,,,,,,,,,,Yemen,2021,Exposure,8.27
,,,,,,,,,,,Yemen,2021,Vulnerability,69.12
,,,,,,,,,,,Yemen,2021,Susceptibility,44.85
,,,,,,,,,,,Yemen,2021,Lack of Coping Capabilities,93.17
,,,,,,,,,,,Yemen,2021,Lack of Adaptive Capacities,69.34
,,,,,,,,,,,Cuba,2021,WRI,5.75
,,,,,,,,,,,Cuba,2021,Exposure,16.3
,,,,,,,,,,,Cuba,2021,Vulnerability,35.26
,,,,,,,,,,,Cuba,2021,Susceptibility,19.7
,,,,,,,,,,,Cuba,2021,Lack of Coping Capabilities,53.28
,,,,,,,,,,,Cuba,2021,Lack of Adaptive Capacities,32.79
,,,,,,,,,,,Syria,2021,WRI,5.8
,,,,,,,,,,,Syria,2021,Exposure,10.63
,,,,,,,,,,,Syria,2021,Vulnerability,54.54
,,,,,,,,,,,Syria,2021,Susceptibility,27.32
,,,,,,,,,,,Syria,2021,Lack of Coping Capabilities,90.76
,,,,,,,,,,,Syria,2021,Lack of Adaptive Capacities,45.54
,,,,,,,,,,,Iraq,2021,WRI,5.8
,,,,,,,,,,,Iraq,2021,Exposure,10.4
,,,,,,,,,,,Iraq,2021,Vulnerability,55.77
,,,,,,,,,,,Iraq,2021,Susceptibility,26.86
,,,,,,,,,,,Iraq,2021,Lack of Coping Capabilities,87.89
,,,,,,,,,,,Iraq,2021,Lack of Adaptive Capacities,52.57
,,,,,,,,,,,Azerbaijan,2021,WRI,5.81
,,,,,,,,,,,Azerbaijan,2021,Exposure,14.21
,,,,,,,,,,,Azerbaijan,2021,Vulnerability,40.9
,,,,,,,,,,,Azerbaijan,2021,Susceptibility,18.46
,,,,,,,,,,,Azerbaijan,2021,Lack of Coping Capabilities,72
,,,,,,,,,,,Azerbaijan,2021,Lack of Adaptive Capacities,32.24
,,,,,,,,,,,North Macedonia,2021,WRI,5.82
,,,,,,,,,,,North Macedonia,2021,Exposure,14.48
,,,,,,,,,,,North Macedonia,2021,Vulnerability,40.21
,,,,,,,,,,,North Macedonia,2021,Susceptibility,18.81
,,,,,,,,,,,North Macedonia,2021,Lack of Coping Capabilities,70.58
,,,,,,,,,,,North Macedonia,2021,Lack of Adaptive Capacities,31.25
,,,,,,,,,,,Morocco,2021,WRI,5.82
,,,,,,,,,,,Morocco,2021,Exposure,12.12
,,,,,,,,,,,Morocco,2021,Vulnerability,48
,,,,,,,,,,,Morocco,2021,Susceptibility,25.02
,,,,,,,,,,,Morocco,2021,Lack of Coping Capabilities,79.35
,,,,,,,,,,,Morocco,2021,Lack of Adaptive Capacities,39.63
,,,,,,,,,,,Tajikistan,2021,WRI,5.84
,,,,,,,,,,,Tajikistan,2021,Exposure,12.15
,,,,,,,,,,,Tajikistan,2021,Vulnerability,48.06
,,,,,,,,,,,Tajikistan,2021,Susceptibility,32.57
,,,,,,,,,,,Tajikistan,2021,Lack of Coping Capabilities,76.27
,,,,,,,,,,,Tajikistan,2021,Lack of Adaptive Capacities,35.35
,,,,,,,,,,,Tunisia,2021,WRI,5.85
,,,,,,,,,,,Tunisia,2021,Exposure,13.08
,,,,,,,,,,,Tunisia,2021,Vulnerability,44.74
,,,,,,,,,,,Tunisia,2021,Susceptibility,20.9
,,,,,,,,,,,Tunisia,2021,Lack of Coping Capabilities,75.5
,,,,,,,,,,,Tunisia,2021,Lack of Adaptive Capacities,37.83
,,,,,,,,,,,Turkmenistan,2021,WRI,5.85
,,,,,,,,,,,Turkmenistan,2021,Exposure,12.25
,,,,,,,,,,,Turkmenistan,2021,Vulnerability,47.72
,,,,,,,,,,,Turkmenistan,2021,Susceptibility,27.99
,,,,,,,,,,,Turkmenistan,2021,Lack of Coping Capabilities,76.76
,,,,,,,,,,,Turkmenistan,2021,Lack of Adaptive Capacities,38.42
,,,,,,,,,,,Namibia,2021,WRI,5.86
,,,,,,,,,,,Namibia,2021,Exposure,11.3
,,,,,,,,,,,Namibia,2021,Vulnerability,51.89
,,,,,,,,,,,Namibia,2021,Susceptibility,42.89
,,,,,,,,,,,Namibia,2021,Lack of Coping Capabilities,74.11
,,,,,,,,,,,Namibia,2021,Lack of Adaptive Capacities,38.66
,,,,,,,,,,,China,2021,WRI,5.87
,,,,,,,,,,,China,2021,Exposure,14.29
,,,,,,,,,,,China,2021,Vulnerability,41.08
,,,,,,,,,,,China,2021,Susceptibility,21.64
,,,,,,,,,,,China,2021,Lack of Coping Capabilities,71.42
,,,,,,,,,,,China,2021,Lack of Adaptive Capacities,30.17
,,,,,,,,,,,Mexico,2021,WRI,6.03
,,,,,,,,,,,Mexico,2021,Exposure,14.2
,,,,,,,,,,,Mexico,2021,Vulnerability,42.44
,,,,,,,,,,,Mexico,2021,Susceptibility,20.86
,,,,,,,,,,,Mexico,2021,Lack of Coping Capabilities,74.25
,,,,,,,,,,,Mexico,2021,Lack of Adaptive Capacities,32.2
,,,,,,,,,,,South Africa,2021,WRI,6.46
,,,,,,,,,,,South Africa,2021,Exposure,13.47
,,,,,,,,,,,South Africa,2021,Vulnerability,47.93
,,,,,,,,,,,South Africa,2021,Susceptibility,30.9
,,,,,,,,,,,South Africa,2021,Lack of Coping Capabilities,73.35
,,,,,,,,,,,South Africa,2021,Lack of Adaptive Capacities,39.54
,,,,,,,,,,,Thailand,2021,WRI,6.52
,,,,,,,,,,,Thailand,2021,Exposure,14.79
,,,,,,,,,,,Thailand,2021,Vulnerability,44.06
,,,,,,,,,,,Thailand,2021,Susceptibility,17.62
,,,,,,,,,,,Thailand,2021,Lack of Coping Capabilities,78.65
,,,,,,,,,,,Thailand,2021,Lack of Adaptive Capacities,35.91
,,,,,,,,,,,Gabon,2021,WRI,6.6
,,,,,,,,,,,Gabon,2021,Exposure,12.75
,,,,,,,,,,,Gabon,2021,Vulnerability,51.79
,,,,,,,,,,,Gabon,2021,Susceptibility,32.58
,,,,,,,,,,,Gabon,2021,Lack of Coping Capabilities,75.08
,,,,,,,,,,,Gabon,2021,Lack of Adaptive Capacities,47.71
,,,,,,,,,,,India,2021,WRI,6.65
,,,,,,,,,,,India,2021,Exposure,12.52
,,,,,,,,,,,India,2021,Vulnerability,53.09
,,,,,,,,,,,India,2021,Susceptibility,32.15
,,,,,,,,,,,India,2021,Lack of Coping Capabilities,78.7
,,,,,,,,,,,India,2021,Lack of Adaptive Capacities,48.42
,,,,,,,,,,,Lesotho,2021,WRI,6.66
,,,,,,,,,,,Lesotho,2021,Exposure,11.1
,,,,,,,,,,,Lesotho,2021,Vulnerability,59.98
,,,,,,,,,,,Lesotho,2021,Susceptibility,43.97
,,,,,,,,,,,Lesotho,2021,Lack of Coping Capabilities,81.5
,,,,,,,,,,,Lesotho,2021,Lack of Adaptive Capacities,54.47
,,,,,,,,,,,Colombia,2021,WRI,6.72
,,,,,,,,,,,Colombia,2021,Exposure,14.83
,,,,,,,,,,,Colombia,2021,Vulnerability,45.32
,,,,,,,,,,,Colombia,2021,Susceptibility,22.8
,,,,,,,,,,,Colombia,2021,Lack of Coping Capabilities,77.04
,,,,,,,,,,,Colombia,2021,Lack of Adaptive Capacities,36.13
,,,,,,,,,,,Montenegro,2021,WRI,6.75
,,,,,,,,,,,Montenegro,2021,Exposure,17.8
,,,,,,,,,,,Montenegro,2021,Vulnerability,37.92
,,,,,,,,,,,Montenegro,2021,Susceptibility,18.57
,,,,,,,,,,,Montenegro,2021,Lack of Coping Capabilities,68.2
,,,,,,,,,,,Montenegro,2021,Lack of Adaptive Capacities,26.99
,,,,,,,,,,,Peru,2021,WRI,6.75
,,,,,,,,,,,Peru,2021,Exposure,14.92
,,,,,,,,,,,Peru,2021,Vulnerability,45.26
,,,,,,,,,,,Peru,2021,Susceptibility,26.29
,,,,,,,,,,,Peru,2021,Lack of Coping Capabilities,76.22
,,,,,,,,,,,Peru,2021,Lack of Adaptive Capacities,33.27
,,,,,,,,,,,Pakistan,2021,WRI,6.8
,,,,,,,,,,,Pakistan,2021,Exposure,11.95
,,,,,,,,,,,Pakistan,2021,Vulnerability,56.88
,,,,,,,,,,,Pakistan,2021,Susceptibility,33.57
,,,,,,,,,,,Pakistan,2021,Lack of Coping Capabilities,84.71
,,,,,,,,,,,Pakistan,2021,Lack of Adaptive Capacities,52.37
,,,,,,,,,,,Congo,2021,WRI,6.84
,,,,,,,,,,,Congo,2021,Exposure,10.56
,,,,,,,,,,,Congo,2021,Vulnerability,64.76
,,,,,,,,,,,Congo,2021,Susceptibility,54.39
,,,,,,,,,,,Congo,2021,Lack of Coping Capabilities,88.63
,,,,,,,,,,,Congo,2021,Lack of Adaptive Capacities,51.26
,,,,,,,,,,,Eritrea,2021,WRI,6.87
,,,,,,,,,,,Eritrea,2021,Exposure,9.66
,,,,,,,,,,,Eritrea,2021,Vulnerability,71.09
,,,,,,,,,,,Eritrea,2021,Susceptibility,63.28
,,,,,,,,,,,Eritrea,2021,Lack of Coping Capabilities,89.71
,,,,,,,,,,,Eritrea,2021,Lack of Adaptive Capacities,60.29
,,,,,,,,,,,Greece,2021,WRI,6.93
,,,,,,,,,,,Greece,2021,Exposure,22.23
,,,,,,,,,,,Greece,2021,Vulnerability,31.18
,,,,,,,,,,,Greece,2021,Susceptibility,17.42
,,,,,,,,,,,Greece,2021,Lack of Coping Capabilities,58.93
,,,,,,,,,,,Greece,2021,Lack of Adaptive Capacities,17.2
,,,,,,,,,,,Micronesia,2021,WRI,7.11
,,,,,,,,,,,Micronesia,2021,Exposure,14.03
,,,,,,,,,,,Micronesia,2021,Vulnerability,50.71
,,,,,,,,,,,Micronesia,2021,Susceptibility,31.04
,,,,,,,,,,,Micronesia,2021,Lack of Coping Capabilities,72.21
,,,,,,,,,,,Micronesia,2021,Lack of Adaptive Capacities,48.89
,,,,,,,,,,,Kyrgyzstan,2021,WRI,7.25
,,,,,,,,,,,Kyrgyzstan,2021,Exposure,16.49
,,,,,,,,,,,Kyrgyzstan,2021,Vulnerability,43.96
,,,,,,,,,,,Kyrgyzstan,2021,Susceptibility,24.59
,,,,,,,,,,,Kyrgyzstan,2021,Lack of Coping Capabilities,75.22
,,,,,,,,,,,Kyrgyzstan,2021,Lack of Adaptive Capacities,32.07
,,,,,,,,,,,Myanmar,2021,WRI,7.25
,,,,,,,,,,,Myanmar,2021,Exposure,12.92
,,,,,,,,,,,Myanmar,2021,Vulnerability,56.11
,,,,,,,,,,,Myanmar,2021,Susceptibility,29.42
,,,,,,,,,,,Myanmar,2021,Lack of Coping Capabilities,86.27
,,,,,,,,,,,Myanmar,2021,Lack of Adaptive Capacities,52.64
,,,,,,,,,,,Eq. Guinea,2021,WRI,7.29
,,,,,,,,,,,Eq. Guinea,2021,Exposure,12.73
,,,,,,,,,,,Eq. Guinea,2021,Vulnerability,57.28
,,,,,,,,,,,Eq. Guinea,2021,Susceptibility,40.64
,,,,,,,,,,,Eq. Guinea,2021,Lack of Coping Capabilities,86.57
,,,,,,,,,,,Eq. Guinea,2021,Lack of Adaptive Capacities,44.64
,,,,,,,,,,,Suriname,2021,WRI,7.38
,,,,,,,,,,,Suriname,2021,Exposure,15.24
,,,,,,,,,,,Suriname,2021,Vulnerability,48.41
,,,,,,,,,,,Suriname,2021,Susceptibility,28.82
,,,,,,,,,,,Suriname,2021,Lack of Coping Capabilities,74.7
,,,,,,,,,,,Suriname,2021,Lack of Adaptive Capacities,41.7
,,,,,,,,,,,Sri Lanka,2021,WRI,7.55
,,,,,,,,,,,Sri Lanka,2021,Exposure,15.99
,,,,,,,,,,,Sri Lanka,2021,Vulnerability,47.19
,,,,,,,,,,,Sri Lanka,2021,Susceptibility,23.05
,,,,,,,,,,,Sri Lanka,2021,Lack of Coping Capabilities,76.35
,,,,,,,,,,,Sri Lanka,2021,Lack of Adaptive Capacities,42.17
,,,,,,,,,,,Rwanda,2021,WRI,7.55
,,,,,,,,,,,Rwanda,2021,Exposure,12.37
,,,,,,,,,,,Rwanda,2021,Vulnerability,61.04
,,,,,,,,,,,Rwanda,2021,Susceptibility,52.14
,,,,,,,,,,,Rwanda,2021,Lack of Coping Capabilities,79.44
,,,,,,,,,,,Rwanda,2021,Lack of Adaptive Capacities,51.55
,,,,,,,,,,,Central African Rep.,2021,WRI,7.64
,,,,,,,,,,,Central African Rep.,2021,Exposure,10.08
,,,,,,,,,,,Central African Rep.,2021,Vulnerability,75.83
,,,,,,,,,,,Central African Rep.,2021,Susceptibility,70.52
,,,,,,,,,,,Central African Rep.,2021,Lack of Coping Capabilities,90.56
,,,,,,,,,,,Central African Rep.,2021,Lack of Adaptive Capacities,66.41
,,,,,,,,,,,Algeria,2021,WRI,7.66
,,,,,,,,,,,Algeria,2021,Exposure,16.61
,,,,,,,,,,,Algeria,2021,Vulnerability,46.14
,,,,,,,,,,,Algeria,2021,Susceptibility,22.24
,,,,,,,,,,,Algeria,2021,Lack of Coping Capabilities,76.81
,,,,,,,,,,,Algeria,2021,Lack of Adaptive Capacities,39.36
,,,,,,,,,,,Zambia,2021,WRI,7.72
,,,,,,,,,,,Zambia,2021,Exposure,12.12
,,,,,,,,,,,Zambia,2021,Vulnerability,63.67
,,,,,,,,,,,Zambia,2021,Susceptibility,61.69
,,,,,,,,,,,Zambia,2021,Lack of Coping Capabilities,81.31
,,,,,,,,,,,Zambia,2021,Lack of Adaptive Capacities,48
,,,,,,,,,,,Malaysia,2021,WRI,7.73
,,,,,,,,,,,Malaysia,2021,Exposure,19.09
,,,,,,,,,,,Malaysia,2021,Vulnerability,40.49
,,,,,,,,,,,Malaysia,2021,Susceptibility,17.05
,,,,,,,,,,,Malaysia,2021,Lack of Coping Capabilities,71.19
,,,,,,,,,,,Malaysia,2021,Lack of Adaptive Capacities,33.22
,,,,,,,,,,,Panama,2021,WRI,7.76
,,,,,,,,,,,Panama,2021,Exposure,17.74
,,,,,,,,,,,Panama,2021,Vulnerability,43.74
,,,,,,,,,,,Panama,2021,Susceptibility,23.03
,,,,,,,,,,,Panama,2021,Lack of Coping Capabilities,73.03
,,,,,,,,,,,Panama,2021,Lack of Adaptive Capacities,35.15
,,,,,,,,,,,eSwatini,2021,WRI,7.85
,,,,,,,,,,,eSwatini,2021,Exposure,13.54
,,,,,,,,,,,eSwatini,2021,Vulnerability,57.98
,,,,,,,,,,,eSwatini,2021,Susceptibility,42.35
,,,,,,,,,,,eSwatini,2021,Lack of Coping Capabilities,82.62
,,,,,,,,,,,eSwatini,2021,Lack of Adaptive Capacities,48.98
,,,,,,,,,,,Uzbekistan,2021,WRI,7.91
,,,,,,,,,,,Uzbekistan,2021,Exposure,16.28
,,,,,,,,,,,Uzbekistan,2021,Vulnerability,48.56
,,,,,,,,,,,Uzbekistan,2021,Susceptibility,30.25
,,,,,,,,,,,Uzbekistan,2021,Lack of Coping Capabilities,75.65
,,,,,,,,,,,Uzbekistan,2021,Lack of Adaptive Capacities,39.79
,,,,,,,,,,,Ethiopia,2021,WRI,7.93
,,,,,,,,,,,Ethiopia,2021,Exposure,11.75
,,,,,,,,,,,Ethiopia,2021,Vulnerability,67.52
,,,,,,,,,,,Ethiopia,2021,Susceptibility,56.76
,,,,,,,,,,,Ethiopia,2021,Lack of Coping Capabilities,87.35
,,,,,,,,,,,Ethiopia,2021,Lack of Adaptive Capacities,58.45
,,,,,,,,,,,Netherlands,2021,WRI,7.98
,,,,,,,,,,,Netherlands,2021,Exposure,31.75
,,,,,,,,,,,Netherlands,2021,Vulnerability,25.13
,,,,,,,,,,,Netherlands,2021,Susceptibility,14.66
,,,,,,,,,,,Netherlands,2021,Lack of Coping Capabilities,44.34
,,,,,,,,,,,Netherlands,2021,Lack of Adaptive Capacities,16.4
,,,,,,,,,,,Venezuela,2021,WRI,7.99
,,,,,,,,,,,Venezuela,2021,Exposure,16.02
,,,,,,,,,,,Venezuela,2021,Vulnerability,49.86
,,,,,,,,,,,Venezuela,2021,Susceptibility,25.75
,,,,,,,,,,,Venezuela,2021,Lack of Coping Capabilities,86.35
,,,,,,,,,,,Venezuela,2021,Lack of Adaptive Capacities,37.47
,,,,,,,,,,,Belize,2021,WRI,8.03
,,,,,,,,,,,Belize,2021,Exposure,16.73
,,,,,,,,,,,Belize,2021,Vulnerability,47.97
,,,,,,,,,,,Belize,2021,Susceptibility,28.2
,,,,,,,,,,,Belize,2021,Lack of Coping Capabilities,74.46
,,,,,,,,,,,Belize,2021,Lack of Adaptive Capacities,41.26
,,,,,,,,,,,Afghanistan,2021,WRI,8.18
,,,,,,,,,,,Afghanistan,2021,Exposure,12.27
,,,,,,,,,,,Afghanistan,2021,Vulnerability,66.63
,,,,,,,,,,,Afghanistan,2021,Susceptibility,48.57
,,,,,,,,,,,Afghanistan,2021,Lack of Coping Capabilities,91.4
,,,,,,,,,,,Afghanistan,2021,Lack of Adaptive Capacities,59.93
,,,,,,,,,,,Mauritania,2021,WRI,8.2
,,,,,,,,,,,Mauritania,2021,Exposure,13.15
,,,,,,,,,,,Mauritania,2021,Vulnerability,62.37
,,,,,,,,,,,Mauritania,2021,Susceptibility,38.15
,,,,,,,,,,,Mauritania,2021,Lack of Coping Capabilities,86.97
,,,,,,,,,,,Mauritania,2021,Lack of Adaptive Capacities,61.98
,,,,,,,,,,,Albania,2021,WRI,8.23
,,,,,,,,,,,Albania,2021,Exposure,19.77
,,,,,,,,,,,Albania,2021,Vulnerability,41.63
,,,,,,,,,,,Albania,2021,Susceptibility,20.1
,,,,,,,,,,,Albania,2021,Lack of Coping Capabilities,74.77
,,,,,,,,,,,Albania,2021,Lack of Adaptive Capacities,30.03
,,,,,,,,,,,Sudan,2021,WRI,8.47
,,,,,,,,,,,Sudan,2021,Exposure,13.13
,,,,,,,,,,,Sudan,2021,Vulnerability,64.49
,,,,,,,,,,,Sudan,2021,Susceptibility,44.93
,,,,,,,,,,,Sudan,2021,Lack of Coping Capabilities,92.3
,,,,,,,,,,,Sudan,2021,Lack of Adaptive Capacities,56.25
,,,,,,,,,,,Uganda,2021,WRI,8.64
,,,,,,,,,,,Uganda,2021,Exposure,12.88
,,,,,,,,,,,Uganda,2021,Vulnerability,67.07
,,,,,,,,,,,Uganda,2021,Susceptibility,61.54
,,,,,,,,,,,Uganda,2021,Lack of Coping Capabilities,88.05
,,,,,,,,,,,Uganda,2021,Lack of Adaptive Capacities,51.63
,,,,,,,,,,,Guinea,2021,WRI,8.65
,,,,,,,,,,,Guinea,2021,Exposure,12.7
,,,,,,,,,,,Guinea,2021,Vulnerability,68.08
,,,,,,,,,,,Guinea,2021,Susceptibility,51.87
,,,,,,,,,,,Guinea,2021,Lack of Coping Capabilities,89.08
,,,,,,,,,,,Guinea,2021,Lack of Adaptive Capacities,63.29
,,,,,,,,,,,Trinidad and Tobago,2021,WRI,8.67
,,,,,,,,,,,Trinidad and Tobago,2021,Exposure,22.58
,,,,,,,,,,,Trinidad and Tobago,2021,Vulnerability,38.41
,,,,,,,,,,,Trinidad and Tobago,2021,Susceptibility,18.99
,,,,,,,,,,,Trinidad and Tobago,2021,Lack of Coping Capabilities,61.24
,,,,,,,,,,,Trinidad and Tobago,2021,Lack of Adaptive Capacities,34.99
,,,,,,,,,,,Dem. Rep. Congo,2021,WRI,8.78
,,,,,,,,,,,Dem. Rep. Congo,2021,Exposure,11.86
,,,,,,,,,,,Dem. Rep. Congo,2021,Vulnerability,74.04
,,,,,,,,,,,Dem. Rep. Congo,2021,Susceptibility,67.76
,,,,,,,,,,,Dem. Rep. Congo,2021,Lack of Coping Capabilities,92.8
,,,,,,,,,,,Dem. Rep. Congo,2021,Lack of Adaptive Capacities,61.55
,,,,,,,,,,,Ecuador,2021,WRI,8.82
,,,,,,,,,,,Ecuador,2021,Exposure,18.75
,,,,,,,,,,,Ecuador,2021,Vulnerability,47.05
,,,,,,,,,,,Ecuador,2021,Susceptibility,24.96
,,,,,,,,,,,Ecuador,2021,Lack of Coping Capabilities,76.45
,,,,,,,,,,,Ecuador,2021,Lack of Adaptive Capacities,39.74
,,,,,,,,,,,Liberia,2021,WRI,8.92
,,,,,,,,,,,Liberia,2021,Exposure,13.48
,,,,,,,,,,,Liberia,2021,Vulnerability,66.17
,,,,,,,,,,,Liberia,2021,Susceptibility,55.63
,,,,,,,,,,,Liberia,2021,Lack of Coping Capabilities,87.16
,,,,,,,,,,,Liberia,2021,Lack of Adaptive Capacities,55.73
,,,,,,,,,,,Tanzania,2021,WRI,8.94
,,,,,,,,,,,Tanzania,2021,Exposure,13.97
,,,,,,,,,,,Tanzania,2021,Vulnerability,64
,,,,,,,,,,,Tanzania,2021,Susceptibility,56.49
,,,,,,,,,,,Tanzania,2021,Lack of Coping Capabilities,83.21
,,,,,,,,,,,Tanzania,2021,Lack of Adaptive Capacities,52.3
,,,,,,,,,,,Malawi,2021,WRI,8.94
,,,,,,,,,,,Malawi,2021,Exposure,13.35
,,,,,,,,,,,Malawi,2021,Vulnerability,66.98
,,,,,,,,,,,Malawi,2021,Susceptibility,59.46
,,,,,,,,,,,Malawi,2021,Lack of Coping Capabilities,84.68
,,,,,,,,,,,Malawi,2021,Lack of Adaptive Capacities,56.79
,,,,,,,,,,,Mauritius,2021,WRI,9.04
,,,,,,,,,,,Mauritius,2021,Exposure,23.85
,,,,,,,,,,,Mauritius,2021,Vulnerability,37.92
,,,,,,,,,,,Mauritius,2021,Susceptibility,17.39
,,,,,,,,,,,Mauritius,2021,Lack of Coping Capabilities,58.21
,,,,,,,,,,,Mauritius,2021,Lack of Adaptive Capacities,38.17
,,,,,,,,,,,Mozambique,2021,WRI,9.11
,,,,,,,,,,,Mozambique,2021,Exposure,13.26
,,,,,,,,,,,Mozambique,2021,Vulnerability,68.73
,,,,,,,,,,,Mozambique,2021,Susceptibility,62.6
,,,,,,,,,,,Mozambique,2021,Lack of Coping Capabilities,88.45
,,,,,,,,,,,Mozambique,2021,Lack of Adaptive Capacities,55.13
,,,,,,,,,,,Zimbabwe,2021,WRI,9.3
,,,,,,,,,,,Zimbabwe,2021,Exposure,14.51
,,,,,,,,,,,Zimbabwe,2021,Vulnerability,64.11
,,,,,,,,,,,Zimbabwe,2021,Susceptibility,55.02
,,,,,,,,,,,Zimbabwe,2021,Lack of Coping Capabilities,88.44
,,,,,,,,,,,Zimbabwe,2021,Lack of Adaptive Capacities,48.88
,,,,,,,,,,,Ghana,2021,WRI,9.32
,,,,,,,,,,,Ghana,2021,Exposure,16.38
,,,,,,,,,,,Ghana,2021,Vulnerability,56.88
,,,,,,,,,,,Ghana,2021,Susceptibility,41.6
,,,,,,,,,,,Ghana,2021,Lack of Coping Capabilities,78.75
,,,,,,,,,,,Ghana,2021,Lack of Adaptive Capacities,50.29
,,,,,,,,,,,Sierra Leone,2021,WRI,9.4
,,,,,,,,,,,Sierra Leone,2021,Exposure,13.65
,,,,,,,,,,,Sierra Leone,2021,Vulnerability,68.87
,,,,,,,,,,,Sierra Leone,2021,Susceptibility,55.15
,,,,,,,,,,,Sierra Leone,2021,Lack of Coping Capabilities,85.39
,,,,,,,,,,,Sierra Leone,2021,Lack of Adaptive Capacities,66.07
,,,,,,,,,,,Japan,2021,WRI,9.66
,,,,,,,,,,,Japan,2021,Exposure,38.51
,,,,,,,,,,,Japan,2021,Vulnerability,25.09
,,,,,,,,,,,Japan,2021,Susceptibility,17.92
,,,,,,,,,,,Japan,2021,Lack of Coping Capabilities,39.42
,,,,,,,,,,,Japan,2021,Lack of Adaptive Capacities,17.94
,,,,,,,,,,,Senegal,2021,WRI,9.79
,,,,,,,,,,,Senegal,2021,Exposure,16.5
,,,,,,,,,,,Senegal,2021,Vulnerability,59.31
,,,,,,,,,,,Senegal,2021,Susceptibility,44.64
,,,,,,,,,,,Senegal,2021,Lack of Coping Capabilities,77.87
,,,,,,,,,,,Senegal,2021,Lack of Adaptive Capacities,55.42
,,,,,,,,,,,Côte d'Ivoire,2021,WRI,9.98
,,,,,,,,,,,Côte d'Ivoire,2021,Exposure,15.57
,,,,,,,,,,,Côte d'Ivoire,2021,Vulnerability,64.1
,,,,,,,,,,,Côte d'Ivoire,2021,Susceptibility,47.26
,,,,,,,,,,,Côte d'Ivoire,2021,Lack of Coping Capabilities,85.61
